id_gen,date,scenario,value
59,2024-10-01 00:00:00,2,278.6355754815556
51,2024-10-01 00:00:00,2,95.34914417966665
24,2024-10-01 00:00:00,2,45.82113263201388
28,2024-10-01 00:00:00,2,48.69275674791666
30,2024-10-01 00:00:00,2,34.45948939083333
32,2024-10-01 00:00:00,2,24.720938041249997
33,2024-10-01 00:00:00,2,247.83364652465275
37,2024-10-01 00:00:00,2,82.65283324902776
40,2024-10-01 00:00:00,2,46.81995841145834
27,2024-10-01 00:00:00,2,101.3808166136111
39,2024-10-01 00:00:00,2,18.603130142152775
41,2024-10-01 00:00:00,2,45.82113263201388
42,2024-10-01 00:00:00,2,22.972992927222226
45,2024-10-01 00:00:00,2,172.04774050930556
46,2024-10-01 00:00:00,2,132.59412222125
47,2024-10-01 00:00:00,2,51.564380863819444
48,2024-10-01 00:00:00,2,53.31232597784722
49,2024-10-01 00:00:00,2,47.44422452361112
50,2024-10-01 00:00:00,2,71.6657496751389
29,2024-10-01 00:00:00,2,78.30273227777778
31,2024-10-01 00:00:00,2,38.19614295833333
36,2024-10-01 00:00:00,2,21.699072444444443
35,2024-10-01 00:00:00,2,21.699072444444443
26,2024-10-01 00:00:00,2,56.99527425
52,2024-10-01 00:00:00,2,12.917895044444444
23,2024-10-01 00:00:00,2,10.393567523611111
38,2024-10-01 00:00:00,2,71.16589848611112
55,2024-10-01 00:00:00,2,0.0
56,2024-10-01 00:00:00,2,0.0
57,2024-10-01 00:00:00,2,0.0
58,2024-10-01 00:00:00,2,0.0
60,2024-10-01 00:00:00,2,0.0
61,2024-10-01 00:00:00,2,0.0
25,2024-11-01 00:00:00,2,5.993262487777776
34,2024-11-01 00:00:00,2,4.502552528888889
43,2024-11-01 00:00:00,2,71.21942885222222
44,2024-11-01 00:00:00,2,41.37480702222222
59,2024-11-01 00:00:00,2,134.95488525777776
51,2024-11-01 00:00:00,2,46.18158607333333
24,2024-11-01 00:00:00,2,28.44336624743056
28,2024-11-01 00:00:00,2,30.225920535416666
30,2024-11-01 00:00:00,2,21.390651455833332
32,2024-11-01 00:00:00,2,15.345467348750004
33,2024-11-01 00:00:00,2,153.8421852892361
37,2024-11-01 00:00:00,2,51.306562549861106
40,2024-11-01 00:00:00,2,29.063385130208335
27,2024-11-01 00:00:00,2,62.93191660194444
39,2024-11-01 00:00:00,2,11.547851691736112
41,2024-11-01 00:00:00,2,28.44336624743056
42,2024-11-01 00:00:00,2,14.260434303888887
45,2024-11-01 00:00:00,2,106.79825255847221
46,2024-11-01 00:00:00,2,82.30750668875
47,2024-11-01 00:00:00,2,32.00847482340278
48,2024-11-01 00:00:00,2,33.09350786826389
49,2024-11-01 00:00:00,2,29.450896931944442
50,2024-11-01 00:00:00,2,44.48635483930556
29,2024-11-01 00:00:00,2,45.34623248611111
31,2024-11-01 00:00:00,2,16.83157865277778
36,2024-11-01 00:00:00,2,14.588133402777778
35,2024-11-01 00:00:00,2,14.588133402777778
26,2024-11-01 00:00:00,2,32.563150472222226
52,2024-11-01 00:00:00,2,7.380390140277779
23,2024-11-01 00:00:00,2,7.2271504305555565
38,2024-11-01 00:00:00,2,50.52790329166666
55,2024-11-01 00:00:00,2,0.0
56,2024-11-01 00:00:00,2,0.0
57,2024-11-01 00:00:00,2,0.0
58,2024-11-01 00:00:00,2,0.0
60,2024-11-01 00:00:00,2,0.0
61,2024-11-01 00:00:00,2,0.0
25,2024-12-01 00:00:00,2,8.751982150666667
34,2024-12-01 00:00:00,2,6.575093189333334
43,2024-12-01 00:00:00,2,104.00198078533333
44,2024-12-01 00:00:00,2,60.41977525333334
59,2024-12-01 00:00:00,2,197.07509045866666
51,2024-12-01 00:00:00,2,67.439131496
24,2024-12-01 00:00:00,2,19.885150382486113
28,2024-12-01 00:00:00,2,21.131358717083334
30,2024-12-01 00:00:00,2,14.954500015166667
32,2024-12-01 00:00:00,2,10.72822827175
33,2024-12-01 00:00:00,2,107.55319757284722
37,2024-12-01 00:00:00,2,35.86912684797222
40,2024-12-01 00:00:00,2,20.31861415104167
27,2024-12-01 00:00:00,2,43.99657250838888
39,2024-12-01 00:00:00,2,8.073262689347223
41,2024-12-01 00:00:00,2,19.885150382486113
42,2024-12-01 00:00:00,2,9.969666676777779
45,2024-12-01 00:00:00,2,74.66413413369445
46,2024-12-01 00:00:00,2,57.54231527574999
47,2024-12-01 00:00:00,2,22.377567051680558
48,2024-12-01 00:00:00,2,23.13612864665278
49,2024-12-01 00:00:00,2,20.58952900638889
50,2024-12-01 00:00:00,2,31.101025393861107
29,2024-12-01 00:00:00,2,36.602650125000004
31,2024-12-01 00:00:00,2,16.32958633333333
36,2024-12-01 00:00:00,2,12.5056384875
35,2024-12-01 00:00:00,2,12.5056384875
26,2024-12-01 00:00:00,2,27.782956319444448
52,2024-12-01 00:00:00,2,6.2969661680555555
23,2024-12-01 00:00:00,2,26.289184750000004
38,2024-12-01 00:00:00,2,62.58307655555557
55,2024-12-01 00:00:00,2,0.0
56,2024-12-01 00:00:00,2,0.0
57,2024-12-01 00:00:00,2,0.0
58,2024-12-01 00:00:00,2,0.0
60,2024-12-01 00:00:00,2,0.0
61,2024-12-01 00:00:00,2,0.0
25,2025-01-01 00:00:00,2,7.550532280472222
34,2025-01-01 00:00:00,2,5.672481104111111
43,2025-01-01 00:00:00,2,89.72485314002778
44,2025-01-01 00:00:00,2,52.125502037777785
59,2025-01-01 00:00:00,2,170.02112282322224
51,2025-01-01 00:00:00,2,58.18125889216666
24,2025-01-01 00:00:00,2,9.776385243222224
28,2025-01-01 00:00:00,2,10.389074236666666
30,2025-01-01 00:00:00,2,7.352267921333333
32,2025-01-01 00:00:00,2,5.274453074
33,2025-01-01 00:00:00,2,52.87772399944444
37,2025-01-01 00:00:00,2,17.634787550444443
40,2025-01-01 00:00:00,2,9.989494458333333
27,2025-01-01 00:00:00,2,21.630585333777777
39,2025-01-01 00:00:00,2,3.969159131444444
41,2025-01-01 00:00:00,2,9.776385243222224
42,2025-01-01 00:00:00,2,4.901511947555556
45,2025-01-01 00:00:00,2,36.70806230288889
